N,K,time
2110000,681,277.241974
2111000,647,93.581032
2112000,689,114.479721
2113000,679,126.639381
2114000,2489,168.486557
2115000,642,140.817566
2116000,644,93.688721
2117000,665,168.724792
2118000,685,107.545441
2119000,666,131.022751
2120000,653,118.146286
2121000,655,96.013680
2122000,686,135.519058
2123000,676,130.143173
2124000,2247,191.470749
2125000,2358,221.067688
2126000,663,117.276047
2127000,648,112.291069
2128000,653,116.265045
2129000,691,141.472656
2130000,681,169.928223
2131000,696,131.026566
2132000,680,130.595428
2133000,660,110.659668
2134000,704,129.788361
2135000,679,113.252769
2136000,648,120.568077
2137000,677,131.157364
2138000,675,147.535461
2139000,674,123.481285
2140000,641,89.815643
2141000,691,90.744667
2142000,644,165.864197
2143000,676,122.584755
2144000,82,140.375397
2145000,688,112.548843
2146000,676,114.910484
2147000,76,145.023331
2148000,70,114.071205
2149000,2178,201.543335
2150000,65,145.162109
2151000,77,132.220734
2152000,65,149.054382
2153000,80,132.572449
2154000,67,143.676010
2155000,74,122.733047
2156000,69,118.913841
2157000,69,145.642426
2158000,77,139.826111
2159000,79,162.061722
2160000,79,128.851242
2161000,88,119.014290
2162000,72,153.594269
2163000,77,132.359756
2164000,65,116.909065
2165000,79,187.274292
2166000,80,148.844910
2167000,79,152.725876
2168000,74,138.878876
2169000,73,133.073135
2170000,71,126.241989
2171000,56,126.523766
2172000,74,148.603073
2173000,676,113.815826
2174000,75,135.083282
2175000,70,114.535202
2176000,76,131.015564
2177000,62,126.207909
2178000,74,132.058258
2179000,75,141.892792
2180000,77,143.701889
2181000,69,147.771027
2182000,73,132.368408
2183000,68,124.639091
2184000,73,148.745010
2185000,80,150.541595
2186000,653,113.753799
2187000,668,190.046249
2188000,75,140.852295
2189000,695,138.580582
2190000,702,111.634506
2191000,658,130.869339
2192000,614,102.166664
2193000,696,114.726158
2194000,79,136.930878
2195000,2686,172.529694
2196000,72,122.645760
2197000,68,152.665497
2198000,77,109.795135
2199000,83,124.210350
2200000,76,122.315399
2201000,85,110.147606
2202000,72,112.014572
2203000,79,132.464401
2204000,74,141.469772
2205000,73,109.574219
2206000,75,115.710205
2207000,2546,200.357285
2208000,80,138.947021
2209000,80,120.211227
2210000,727,79.391594
2211000,689,104.765785
2212000,744,131.282715
2213000,77,158.297073
2214000,62,133.349258
2215000,72,131.874878
2216000,72,148.327316
2217000,85,135.088333
2218000,74,129.170822
2219000,82,129.755371
2220000,68,132.365463
2221000,73,143.948868
2222000,78,129.475555
2223000,71,143.160828
2224000,84,127.237358
2225000,74,147.343002
2226000,75,127.511734
2227000,73,136.100113
2228000,77,140.155579
2229000,78,119.082352
2230000,87,137.551682
2231000,78,133.594543
2232000,73,154.116943
2233000,2253,196.965591
2234000,75,152.268829
2235000,66,151.183258
2236000,75,121.142967
2237000,74,137.916428
2238000,83,123.736473
2239000,78,140.052795
2240000,66,151.517944
2241000,70,124.644646
2242000,75,151.770966
2243000,67,161.611435
2244000,72,130.553299
2245000,70,121.085114
2246000,76,123.588600
2247000,73,133.525497
2248000,88,166.956863
2249000,80,124.205788
2250000,75,123.216583
2251000,73,124.186508
2252000,71,125.801865
2253000,83,132.616623
2254000,75,146.531219
2255000,77,136.147842
2256000,73,145.879715
2257000,69,117.574631
2258000,75,131.067017
2259000,87,123.525841
